댓글	가성비	청결	맛	분위기	친절
“괴식”이라 부를 수도 있는 특이한 메뉴들을 파는 것이 이 곳의 특징입니다. 그 때문에 호불호는 필연적으로 나뉠 수 밖에 없을 테죠. 팁이라면, 크림빵 종류가 그나마 호불호가 덜 나뉠 만 합니다.  제가 사 온 ‘얼그레이 크림빵’과 ‘감동의 대파빵’은 그에 정확히 부합했습니만, 가격대는 꽤 있는 편이었습니다. 흔치 않은 특별한 맛을 선호하거나 그에 대해 관대한 편이라면 괜찮겠지만, 그게 아니라면 솔직히 추천드리긴 힘들 것 같아요. 새로운 걸 반기는 저로서는 “호”였습니다. 다른 맛도 한 번 먹어보고 싶긴 한데, 집이랑 멀어서 자주 사먹을지는 글쎄요?? :)	0	0	1	0	0
예전에 한번가고서 항상 사람 많아서 엄두를 못냈는데 모처럼 줄이 없길래! 일요일 3시쯤 구매했어요 타이밍이 좋았던 것 같아요 개인적으로 시그니처인 대파빵보다 개인적으로 크림빵과 맘모스가 너무 맛있어요 살짝 얼려서 먹음 더 최고에요 👍👍	0	0	0	0	0
저는 뽀또맛 좋아해서 황치즈 맘모스빵이랑 소금빵 샀어요 달고 맛있었는데 다음에 가면 그냥 기본 맘모스빵으로 사볼 것 같아요 기본의 맛이 궁금하네요 소금빵은 배고파서 안 데우고 그냥 먹었어요 에어프라이기에 데워서 먹으면 정말 맛있었을 것 같아요 친구꺼 흑임자맛도 먹어봤는데 거기서 약간 땅콩잼?? 같은 땅콩맛이 나더라고요 참고하세요	0	0	1	0	0
괜히 유명한게 아니었다...🥹 매일 줄 엄청 서있는것만 보다가 평일 저녁쯤 우연히 지나갔는데 사람이 없길래 들어가서 샀습니다 정말..미친 맛 크림빵 좀 먹어봤다고 자부하는 사람인데 정말 먹으면서 감격스럽기는 오랜만이에요 초코는 너무 달지도 그렇다고 안 달지도 않은 딱 좋은 달달함. 안에 생초콜릿도 박혀있어서 식감까지 최고입니당 어글리 크림빵은 기본인 것 같아 사봤는데 크림이 진짜.. 달달 고소 조화가 적절해요ㅠㅠ 눈 번쩍 뜨이는 맛ㅠㅠ 크림이 정말정말 많이 들어있어서 크림에 파묻히고 싶은 날 먹으면 만족스러울 맛...🫶🏻 이걸 이제야 먹어보다니.. 앞으로 자주 갈게요!🤭	0	0	1	0	0
매장안이 협소해서 밖에서 기다리다가 두세팀씩 들어가서 사야해요. 일요일 한시반쯤 갔는데 10분만 기다려서 샀습니당 생각보다 웨이팅 엄청 오래걸리진 않았네요! 빵들도 소금빵 말고는 다팔린거 없었어요. 말차커스터드팥빵이랑 뽀또맘모스 먹어봤는데 맛있어요~! 다른맛들도 다한번씩 먹어보고싶네요	0	0	1	0	0
오픈런해서 얻어온 아이들..! 맛들이 다 진하고 속재려가 가득가득 들어있어서 너무 맛있었어요! 초코나무숲엔..화장품맛같은게 났지만.. 그거 말곤 다 존맛탱!💕 황치즈 막 좋아하지 않는데 이거 먹고난 후 주기적으로 생각나요..😭	0	1	1	0	1
커피맘모스 다시 내주세요ㅠㅠ 일요일 오픈 20분 전 줄이 길었지만 1시간만에 들어갔습니다. 뽀또는 살 수 있었습니다. 어글리크림빵은 바닐라향이 살짝 나는 크림빵이었고 녹색부분에서 녹차향이 났습니다. 뽀또맘모스는 치즈가 꾸덕했는데, 많이 물렸습니다. 조금씩 먹고 있는데 정말 맛있네요!	0	0	1	0	0
주말 점심쯤 20-30분 웨이팅 했습니다. 대파빵, 무화과, 소금빵, 얼그레이크림빵 먹었어요 대파빵은 고소하고 대파향 나서 좋았고 크림빵은 첫입은 맛있었는데 계속 먹으니 좀 물렸어요. 소금빵 맛있고 무화과는 무화과 많이 들어서 좋았습니다.	0	0	0	0	0
몰랐는데, 맛집ㅎ 감동의 흑임자 맘모스는 맘모스빵 답지 않게 촉촉하고 부드러워서 매우 맛있게 먹었어요. 	0	0	1	0	0
빵들이 전반적으로 괜찮습니다  대파는 제취향은 아니네요  개취타는 빵도 있고요  크림빵이 전 제일 맛나네요  다양하니 꼭 드셔보세요 	0	0	0	0	1
망원동에서 점심먹고 찾은 카페인데요~소금빵 맛집답게 겉빠속촉의 고소한 소금빵이었습니다..특히 포장해온 우유크림 소금빵의ㅈ크림이 환상적입니다!~ 인테리어도 아기자기하고 이쁘구요~ 빵 종류도 은근 많아서 하나씩 더 먹어보고 싶네요~~	0	0	0	1	0
살짝 웨이팅 있는데 분위기 좋고 소금빵이랑 아몬드크림빵 JMT에요 소금빵은 소금이 뿌려져서 짭짤한데 굉장히 쫄깃해서 마치 고기같은 식감이 있고 아몬드크림빵은 빵이 손에 묻으면 끈적하지만 달콤하고 입안에서 아몬드향이 퍼지는 느낌이 환상적입니다! 	0	0	0	0	1
인테리어 밑여뜸..  주말이라 웨이팅했는데  다행히 금방 전화와서 들어갔거든요  소금빵도 있고 인테리어도 예쁘면 말 다했쥬,,,보니까 일본분들도 많이?찾아오는거 같기도하고 커피도 마 싯고 친절하시고 안갈이유 없어요🥹  앉은자리가 바로 앞에 창문이 보여서 너무 예쁘더라구요🪟 여기서 사진 백만장 찍었어요 근데 에어컨이 안오는 자리라 좀 더웠음  암튼 분위기 최고구~  카페는  만석시 한시간 반 제한 있어요! 	0	0	0	0	0
여기 진짜진짜 소금빵 맛집..👍🏻 여지껏 제대로 된 소금빵을 못먹어봐서 그랬는진 모르겠는데 레스피레 먹고나서 다른 곳꺼 별로임... 아이스크림 소금빵에 아이스크림 짱 많이들어있고, 아인슈페너까지 쫀쫀하니 존맛입니다 다들 레스피레 하세요😋🔥	0	0	0	0	0
소금빵 굿이네요. 여기저기 프랑스프랑스한 소품이 돋보입니다. 제가 갔을 때는 웨이팅 없고 만석도 아니었는데, 그럴 때 가면 이 카페의 매력을 제대로 못 느낄 것 같아요.	0	0	0	1	0
소금빵 맛집 우유생크림 대박 맛있어요 가게가 그리 넓지 않아요	0	0	0	0	0
커피 알못이지만 라떼기준 산미없이 고소해서 좋았어요 ! (본인취향) 소금빵도 괜찮고 카페도 외/내부 모두 신경쓴 느낌이 좋았습니다	0	0	0	0	0
시그니처 커피가 넘 맛있어요 소금빵도 고소 짭짤한게 맛있어요	0	0	0	0	1
일반 소금빵(2500원), 고르곤졸라 소금빵(4000원), 갈릭크림치즈 소금빵(5900원)을 먹어 봄. 일반 소금빵은 맛없진 않다. 그렇다고 엄청 맛있지도 않다. 아주 약간 질긴 정도에 그냥 적당한  버터향에 짭짤?? 고르곤졸라 소금빵은 기름이 많이 절여 있는 느낌이라 좀 아쉬웠음. 그리고 꿀 퀄리티도 많이 아쉬웠고. 갈릭크림치즈 소금빵도 기름이 많긴 했는데 솔직히 빵에 갈릭크림 치즈 넣는데 맛이 없을 수 있습니까? 겁나 단짠에 입에 짝짝 붙는 폭력적인 맛이었음. 기름이 많지만 맛있었다. 크림치즈는 어디에 넣어도 맛있는 듯. 전반적으로 맛없지는 않은데 더 ...	0	0	0	1	0
카페에서 먹고싶었는데... 앞에 4팀있다고해서 기다렸는데 30분이 지나도록 웨이팅이 끝날 기미가 안보여서 결국 테이크아웃 ㅠㅠ 배불러서 하나만 포장했는데 더 살걸!!! 소금빵 진짜 맛있네요! 	0	0	0	0	0
대형인기카페의 시끌벅적한 분위기와 사람구경이 지친 사람이라면~ 요 카페 강추합니당😆 아늑해서 2인이 가서 조용히 이야기 하기 좋아요~무엇보다 소금빵 냄새 만큼이나 쫄깃하고 너무 맛있어요!!블랙체다소금빵 생긴것도 귀여운데 맛도 미쳤음!! 다들 소금빵 맛집인줄 알겠지만 여기 아인슈페너 숨은 맛집이에여~ 자주 애용할게여👍	0	0	1	0	0
갓나온 소금빵 정말 맛있어요! 많이 질기지 않고 부드러워요.	0	0	0	0	0
우유 크림빵 존맛탱 망원동 명물입니다 웨딩 임페리얼이랑 먹으면 끝장납니다 추우천!	0	0	0	0	1
소금빵 맛집이에요 ! 커피도 물론 맛남 ㅎㅎㅎㅎ 주말에 대기가 잇네요	0	0	0	0	1
평일에 다녀왔는데, 10분 안되게 웨이팅 하고 들어갔어요. 우유크림, 갈릭크림치즈, 기본 소금빵 이렇게 세 가지 먹었는데, 역시 기본 맛이 최고네요!  카라멜크림도 부드럽고 진해서 좋았습 니다.  직원분들도 친절하시고, 의자도 편해서 디저트 먹으며 쉬어가기 좋은 곳이에요. 잘 먹고, 잘 쉬어 갑니다 :-) 	0	0	1	0	0
