댓글	가성비	청결	맛	분위기	친절
고터에 브런치 오후3시까지 19,000에 브런치메뉴1개랑 커피2잔주는 세상혜자스러운곳임. 메뉴가 진짜다양해서 고르다 눈알빠질뻔. 가격도 저렴해서 이거저거 다 시켰더니 식탁이 모잘람ㅋㅋㅋㅋㅋ 비쥬얼이 뭐 레고가따로없음. 넘나이쁜데 나오는양도 어마무시함. 각자 본연의 맛이 훌륭함. 샐러드도 수준급. 프렌치토스트는 두께감있고 마르게리타피자는 여기시그니처라 시켰는데 뻥안치고 왠만한 강남화덕피자 씹어먹음 피자만 따로 추가로 더 포장해올뻔함 ㅠㅠ존맛. 까르보나라는 눅진한맛이라기보다 후라이숙란이 올라가있는데 비비니 더 깊은맛이남. 깔끔하고 마늘향과 트러플향이 코굿멍밑을 후이익 지나감. 딸기자몽에이드는 딸기에 시큼함을 더해주고 아메리카노는 무난. 시끄러운시간대만 피하면 고속터미널맛집으로 reasonable prices임	1	1	1	1	0
시그니처랩 반포점에서 먹은 토스트와 라이스, 볼로네제 모두 만족스러운 음식이었습니다. 각각의 맛이 개성있고 특히 볼로네제의 면과 소스는 꿀맛이네요. 프렌치토스트도 부드럽고 달달하게 먹기 좋은 메뉴였어요^^ 맛있습니다	0	0	1	2	0
오 ... 완전 맛있네요 ! 다 맛있어요 ^^  왜 인기가 좋은지 알겠어요 ~  적극 추천합니다 ~	1	0	0	0	1
접근성도 좋고 맛도 너무 좋아요. 재료도 신선하고 퀄리티에 비해서 가격도 렴해요. 가성비 맛집입니다. 맛있어요.	1	1	0	0	1
동생이랑 찾아서 갔는데! 위치가 은근 어렵더라고요! 고속터미널 버스승하차하는 근처에 스벅 바로 옆에 있어요!!ㅋㅋㅋㅋㅋㅋㅋ  음식은 맛있었고 로제는 끝맛이 매운데 시간나면 사라지는 매움이었어요! 특히 샐리드가 맛있었어요! 한번 데친다고 했던거같은데!! 연했어요!😋😍	0	2	0	0	1
주말엔 엄청 줄서는 맛집!! 브런치 양도 푸짐하고 가격도 착해서 넘 좋아하는 곳이에요 ㅎㅎ 특히 베이컨 크림 까르보나라 소스 꾸덕하니 고소해서 넘 맛나용 ㅠㅠㅠ 맨날 먹고싶음 아보카도 오픈 샌드위치도 존맛탱 꼭 드세요 두번 드세요	1	0	0	0	1
특별한 날  모임하기 좋아요..  음식도 맛  괜찮아요^^	0	0	1	0	0
음식은 맛있고 좋은데 주차지원 안 되고 음식을 직접주문하고 벨진동 울리면 직접가져가야하고 피클부족할때마다 가지러 가야하고 거기다 다 먹고 그릇도 치워주고 가야하고..ㅠㅠ무슨 할인마트에 있는 식당가에서 먹는 기분이예요. 서비스는 꽝입니다. 	0	0	0	1	0
첫 방문 시그니처랩. 특별한 메뉴로 맛있게먹었어요!! 엄마도 매우 마음에 들어하심! 특히 브런치플레이트에 있는 계란이 보들보들하고 좋더라구여!!	0	0	1	0	0
음식도 맛있고, 매장도 깔끔해요-!	0	1	0	0	1
점심시간을 이용해 다녀온 반포 시그니처랩! 없는 메뉴가 없을 정도로 다양한 메뉴 구성에 놀랐고, 이에 상응하는 맛에 한 번 더 놀라고 왔어요.   저희는 가서 고르곤졸라 피자, 시저샐러드, 시그니처프렌치토스트와 디카페인 커피를 주문했는데, 어찌 이렇게 다 맛있을 수 있는지?! 디카페인 커피마저도 너모 맛이 있었어요. ㅎㅎ 양도 너무 많지 않고 딱 적당한 느낌이었어요.   다만, 매장이 너무 시끄러워서 대화하기가 힘들었고, 테이블이 좀 작아서 먹는데 좀 불편한게 좀 아쉬웠어요.   하지만, 또 방문해서 다른 메뉴를 먹고 싶은 곳! 다음 번에 또 방문하겠습니다. 감사합니다. 🙂	0	0	0	1	0
Love this place 좋은 위치와 맛있는 음식 감사합니다:)	0	0	0	1	0
아침일찍 브런치가 가능한 곳, 동네 줌마 성지🍽️ 적당한양과 합리적인가격으로 브런치 세트가 인기있는곳🤗	0	0	1	0	0
근처 양식&브런치카페중 가성비 좋은것같아요!! 맛있고 간단히 밥먹기 좋은곳이예요 ㅎㅎ	0	1	1	0	0
굉장히 맛있어요 ㅎㅎ 셀프시스템들이 좀 있지만 오히려 편합니당 ㅎㅎ 추천해요	0	0	0	0	0
버스터미널 근처라 경부선 타기에도 너무 좋구 일찍부터하고 넘 맛있움 ㅎㅎ 비쥬얼도 넘 예뻐용	0	0	0	1	0
다이어트 중이라서 시저샐러드를 시켰는데 왠 항절살 튀김같은게 있어서 물어봤더니 닭다리 튀긴거라고 하네요. 남은 닭고기 재활용해서 튀긴듯 냄새나고 질겨서 못먹었어요! 시저샐러드 13000원 짜리가 허접해도 너무 허접하네요ㅜㅜ 짜투리 닭고기 튀김얹은 샐러드는 첨 먹어봐요~~ 시그니쳐랩 비추입니다 다른 시킨 음식도 급식맛나고 별루예요ㅜㅜ	0	1	0	0	0
매장이 생각보다 넓지 않고 이 근반에 브런치 카페가 없어서 사람이 어마무시하네요. 11시부터는 웨이팅하셔야 해요 ㅎㅎ 음식은 맛있어요. 떡볶이 로제파스타 매콤하네요 얼얼  딸기자몽 에이드 상큼하고 좋았어요	0	0	1	0	1
브런치 종류 다양하고,~ 브런치 세트에 커피 2잔.포함이라 넘좋아요.  한달에 두번 꽃시장 갈 때마다 재 방문하게 되는 곳~!	1	0	0	0	0
푸짐하고 가격좋고 넘 맛있어요	1	0	1	0	0
맛있게 잘 먹었습니다~~ 비주얼도 좋고 맛도 죽여줍니다	0	1	0	1	1
양이 많고 굉장히 맛있게 먹었어요 특히 인테리어가 깔끔하고  분위기도 좋았어요 강추합니다 특히 브런치플레이트 진짜 구성도 좋고 가격도 괜찮아요!! 다른 메뉴들도 맛이 너무 궁금해지네요 담에와서 먹어야겟어요!!!!👍🏻 머쉬룸피자도 존맛탱	0	1	1	1	0
맛있고 웨이팅 있고 소란스러운 브런치집 웨이팅이 평일 주말 식사때 아닌때 상관없이 언제나 항상 있어요 기다리다 포기하는 분들 많아요 하하ㅠ 맛으로는 브런치 맛집이라고 추천 무조건 양으로는 소소하게 드실분께만 추천 분위기는 장시간 수다타임에 추천 음 두명이서 메뉴 세개 다 먹었어요 정말 너무 맛있지만 매번 아쉬운 양 까르보나라 미친맛 특색도 적당히 있고 소리가 웅웅 울리는데 단체석 많아서 약간 소란소란 수근수근 합니다 그래도 직원분들 굉장히 손빠르시고 응대 잘 하시는 편이라 매번 만족합니다	0	0	0	0	0
위치도 고속터미널역 경부선쪽이라 방문편하고 가성비 짱!!! 바로 옆에 스타벅스 있음 음식이 정말 맛있어요^^ 종종 방문할께요!!! 사람도많네요 분위기있어 단체모임장소로도 강추	1	0	0	1	0
완전 맛있어요!! 브런치로 부담스럽지도 않고 브런치 플레이트랑 로제파스타 조합이 좋은 것 같아용😘	0	1	0	1	0
마르게리따피자가 참 맛있네요. 고르곤졸라도 고소하게 좋습니다.	0	0	0	1	1
원래 리뷰 쓸 생각 없이 친구들한테 자랑할 목적으로 막 찍은 사진입니다...ㅠㅠ 너무 맛있어서 리뷰 써요! 재료들이 정말 싱싱하고 엄마와 함께 먹었는데 엄마께서도 맛있다고 하셨어요. 그리고 안경 쓰신 직원분 정말 친절하셨어요. 감사합니다~	0	1	1	0	1
고터에서 가성비 좋게 브런치를 즐길 수 있는 곳. 양이 푸짐하고 맛도 좋아요. 점심 시간엔는 웨이팅이 있다고 하니 혼잡한 시간을 조금 피해가는 것이 현명한 선택!!!!	0	0	0	0	1
브런치메뉴가 다양하고 재료가 신선하고 맛있었어요. 아보카도 오픈토스트 수란 아보카도 호밀빵 감자 모두 맛있어요. 블루베리 고르곤졸라 피자는 유자꿀에 찍어먹으면 단짠 상큼해서 정말 꿀맛이에요. 자리도 넓은 편이고 의자도 폭신폭신해서 좋아요. 맛있는 브런치 맛집으로 추천드려요. 또 방문할게요.	0	0	1	1	0
경부선 마산 부산가는 곳 앞에 위치한 브런치 맛집입니다. 3시까지 하는 음료이벤트가 좋아요 ! 브런치 1개 + 아메리키노 2개 = 19000원이에요. 맛도 좋아요! 	1	0	0	0	0
1시간 기다려서 먹ㅇ.... 	0	0	1	0	0
커피 맛있음 라이트한 느낌! 하나도 안탐 음식도 맛있다 추천합니다 ㅎㅎ	0	0	0	1	0
양이 너무 많아서 남겼어요 ㅠㅠ 완전 브런치 맛집👍🏻👍🏻 고르곤졸라피자도 정말 맛있고 로제 떡볶이 파스타도 색달라서 좋았어요 ㅎㅎ	0	1	0	0	1
플레이팅도 예쁘고 맛도 좋아요  양도 적지 않아서 둘이 배부르게 먹었네요 	1	1	0	0	1
처음먹어보는 곳이었는데 양도 많고 맛있습니다!!	1	0	0	0	0
가성비가 좋고 너모 맛있어요 :)  매장도 넓고 분위기도 좋습니다. 고속터미널 가실 일 있으면 방문 추천해용	1	1	0	0	1
들어왔을때 안내도 없고 사람도 없으면서 음식 오래걸리고, 그렇다고 음식에 퀄리티 있지도 않음....  파스타에 버섯과, 하얀 브로콜리 익히지도 않고 토핑마냥 뿌려주는데 어쩌라는 걸까요.... 매장 내 날파리 날라다니고요 너무 맛 없음....	0	0	0	0	0
음식 맛 좋아요. 넓고 쾌적한 실내. 셀프서비스는 조금 불편ㅠ	0	1	0	0	1
브런치 메뉴1개 커피2잔 19000원으로 가성비 너무 좋아요! 파스타 너무 맛있고 프렌치 토스트도 너무 예뻐서 먹기 아깝네요.	1	1	0	0	0
It was actually a really good restaurant to have a meal with my girlfriend. I would recommend it to anyone. Perfect start to a day.	1	1	0	0	1
엄마랑 고속버스기다리면서 밥먹으러왔는데 음식도 맛있고 커피도맛있어요! 엄마가 고르곤졸라 맛잇대용 ㅎㅎ 다음에 또 오고싶어요!	1	1	0	0	1
고속터미널에서 브런치 즐기기 딱 좋아요 메뉴구성도 좋고 맛있어서 추천합니다!	1	0	0	0	1
브런치 먹으러 갔지만 맛있어보이는게 많아서 식사로 변경 >__>_ 가성비 좋고 음식들도 다 맛있고 좋았어요 ✨💫 다음에 또 와야지 🌈	1	0	0	0	0
커피 마시러왔다가 다른 메뉴도 맛있어 보여서 시켰습니다 ㅎㅎ 맛있어요!	0	2	0	1	1
고터 1층이라 접근성 좋고, 브런치 맛있어요.~	1	0	0	0	0
1. 객단가 15,000원에 다양하게 맛볼 수 있음 2. 양도 적지않고 맛도 좋음. 가성비 짱! 3. 대리석 느낌의 테이블에 얼룩이 졌는데 직원분이 닦아도 잘 지워지지 않음. 테이블은 관리가 필요할 것 같음 4. 라스트오더 시간 7시 30분으로 조금 이르다는 느낌	1	0	0	0	0
가족과 간단히 점심하러 고터 왔다가 들린 시그니처래 평소는 항상 줄이 긴데 오늘은 바로 입장 넘 맛있어서 브런치 플레이트 추가 맛 좋고 분위기 좋음 안경낀 홀 직원분 친절하십니다	0	1	0	1	1
생일날 방문했습니다 잘 먹고 갑니당☺️☺️☺️	0	1	1	0	0
마르게르타 피자는 내용물이 잘 어우러져 겉바속촉 ㅎ 볼로네제는 정곡을 찌르는 맛이라고나 할까 ㅋ  까르보나라도 깔끔한 맛. 패션프루츠로 입가심 ㅋ	1	0	1	0	0
메뉴가 모두 싱싱하고 맛나요.  분위기도 좋고. 브런치 하기에 너무 좋아여. 저녁에는 7시반까지 오더 해야하니 좀 서두르세요. 	0	1	0	1	0
피자 & 프렌치토스트 추천! 재방문인데, 개인적으로 토마토베이스 루꼴라피자보다 크림베이스 버섯베이컨피자가 좀더 담백해서 한표. 매장 넓고 직원 친절하고 캐주얼한 분위기에 맛이나 비주얼도 좋아서 재방문의사 200%	0	0	0	1	1
기다림은 길었지만 맛은 있었으니 좋아요	0	0	0	0	0
음식들이 다 맛있어요!	0	1	0	0	0
단골입니다.  맛과 분위기 강추해요	1	0	0	0	1
음식도 너무 맛있고 매장도 넓고 쾌적해요 데이트 장소로 짱짱이에용🥰  담에 또 가려구요!	0	1	1	1	0
오늘 처음 방문했는데 웨이팅 이유가 있었네요! 음식 깔끔하고 느끼지하지 않아 넘넘 맛있었어요 🤍 다음에 또 방문하면 그때는 브런치 먹어 볼게요 👍👍	1	1	0	1	1
고속터미널 맛집 검색하니 가장 상위에 올라 와 있고, 별점도 꽤 높길래 약 20분 가량 대기를 감수하고 부푼 기대를 안고 주문했건만...음식은 그럭저럭 나쁘진 않았으나...커피가 완전 바로 뱉어버려도 시원찮은 맛 ㅜㅜ 첨엔 커피가 너무 미지근해서 맛이 없나하고 바꿔달라해서 다시 받았으나 여전히 바로 뱉음 ㅜㅜ 도대체 어찌 이런 평점을 받은 건지...댓가를 지불하고 조작한 평점과 리뷰라는 의심을 지울 수가 없네요...오랜만에 고터 갔다가 기분 망침요 ㅜㅜ	0	0	0	0	0
재료가 신선히고 고급진맛이예요 정말 맛있어요	1	0	0	0	0
매장도 꽤 넓은 편이고 의자도 편해요. 메뉴가 다른 양식집에 비해 저렴한 편이라서 좋아요 시그니처 까르보나라 꾸덕하고 맛있습니다✨	0	0	0	1	0
런치세트 가성비 좋아요~ 까르보나라 진하고 맛있어요^^ 전체적으로 음식이 깔끔하고 맛있네요 직원도 친절하세요~매장이 넘 울려서 시끄럽고 정신이 없는건 좀 아쉽네요~	1	0	0	1	1
피자 너무 맛있었어요~ 다음에오면 1인1피자 할꺼에요~~ㅎㅎ	1	0	0	0	0
11시 안되서 왔는데  웨이팅을 10분정도 했어요 마게리타피자도 맛나고 커피가 엄청 맛나요 브런치도 엄마랑  맛있게 먹었네요	1	1	0	1	0
음식이 깔끔하고 맛있습니다.	0	0	0	1	1
친구랑 처음 들렸는데 너무 맛있어서 좋았어요  이렇게 다 먹을 줄 몰랐어요! 양이 너무 많아서 못먹을 줄 알았는데 맛있어요!! 다음에 또 올께요~! 웨이팅도 얼마 안 기다려서 금방 먹을 수 있어요	1	1	0	0	1
맛있어요~ 매장은 소란스러워요 ㅠㅠ	0	0	0	0	0
까르보나라랑 브런치플레이트 먹었어용! 재료가 신선하구 맛있어용~	0	0	0	0	1
가성비 갑이에요 파스타보다는 브런치 메뉴 추천해요	1	0	0	0	0
터미널에 왔다가 대기줄에 냉큼 섰습니다. 시그니처 까르보나라와 브런치 플레이트! 행복한 한 끼 였네요. ;)	0	0	0	0	0
브런치 메뉴 좋아요 제입엔 살짝 짜지만 맛있구요 마르게리따 피자 말해 뭐해 바질페스토 향 끝내줍니다	0	0	0	0	0
처음 왔는데 맛있었어요! 그리고 깔끔하게 포장해주셨어요!	1	0	0	0	1
프렌치토스트와 까르보나라가 아주 맛있어요!! 봉골레는 루꼴라는 까먹고 안 넣으신 것 같지만;;; 동죽으로 만들어서 좋네용~~	0	0	1	1	0
장소 좋고 가성비 좋아요. 음식도 맛있어서 자주 옵니다.	1	1	0	0	1
브런치 맛있었고 미트볼파스타는 쫌 짰네요🤣 커피랑 세트메뉴도 있고 좋았습니다	0	1	0	0	1
고속버스터미널 경부선 방향에 스타벅스옆에 있어요. 점심시간에 사람이 북적여서 조금 기다리긴했지만 건강하고 맛있는 브런치를 먹을 수 있어서 좋았어요.	0	0	0	0	0
맛있어요! 웨이팅은 좀 있어요	1	0	0	0	0
정말 좋은 치즈를 쓰시는 것 같아요.블루베리 잼도 수제로 만든 것 같고 에이드에 들어가는 딸기 청도 맛있습니당	0	0	0	1	1
양은 좀 적지만 맛은 있어요~~아침에 일찍 오픈해서 좋아요	0	0	0	0	1
음식이 다 맛이있어서 주말에 브런치 먹으러 오기 좋아요~	0	0	0	0	1
친구와 맛있게 먹었습니다!	1	0	0	0	0
가격이 그렇게 비싼편은 아니지만 그 가격에도 못미치는 퀄리티인것 같아요. 프렌치토스트에는 상태 안좋은 냉동베리 올라가있고.. 친구한테 여기가자고 먼저 얘기했는데 너무 민망했습니다. 	0	0	0	0	0
벌써 엄마랑 3번째 방문이네요~^^ 음식도 맛있지만 시그니쳐 크림커피는 정말 짱이에요~~ 고터올때마다 방문하게 되는집입니다~최고최고^-^	0	0	1	0	0
매장 분위기 예쁘고 가성비도 좋아요! 맛있게 잘 먹었습니다	1	1	0	0	0
장소도 찾기 쉽고, 음식도 굿 ! 분위기 좋네용 ~	0	0	1	0	1
가격,맛이 넘 좋아요~ 친구들이랑 브런치하기 좋은 레스토랑이예요^^	1	1	0	0	0
맛있어용 최고 추천합니다 ^_^	0	0	0	0	0
엄마 모시고 자주 오는 곳이예요	0	0	0	1	0
주말점심 대기30분정도 키오스크나 대기안내 따로없고  매장앞에 대기줄이있었어요  선결제주문하고 진동벨, 반납은 퇴식구 케찹소스는 따로 달라고 요청했어요 브런치메뉴 맛잇어요  브런치플레이트로 +음료2잔 세트주문 추가로 까르보나라	0	0	0	0	0
양이 좀 적긴하지만 맛이 있어요.	0	0	0	0	1
주문은 카운터 가서 선결제로 하고 음식은 따로 받고 식기 반납하는 곳 있어요! 매장 깨끗하고 음식 빨리 나와서 좋았어요	0	0	0	0	1
와...... 넘 추천합니다! 인기많은 이유가 있네요:) 모든게 좋아요~ 대기는 있는편^^	0	0	0	0	1
아보카도 오픈토스트 맛있어요.	0	0	0	0	0
음식도 많고 맛있어요,자주올거같아요	1	0	0	1	0
아보카도 오픈샌드위치에 커피세트 너무 맛있어요!샐러드 야채도 매우 신선하네요😊	0	1	0	0	1
오랜만 친구들과 고터에서 만나 브런치 하기 좋았어요	0	0	1	0	0
맛있고 좋아요	1	0	0	0	1
분위기 좋고 매장 깔끔 직원분들 친절하고 메뉴가 다양해요	0	1	0	1	1
너무 맛있어요 👍👍☺️☺️데이트나 친구들모임이나 특별한날에 좋은 장소 커피전문점이 아닌데 커피는 와 또 오ㅐ이리 맛있는건지!! 	0	1	0	0	1
고터역에 카페 많은데 그만큼 사람도 많아서 자리가 없었어요 ㅠㅠ 찾다찾다가 간 곳인데 토스트랑 커피 잘먹었어용! 디카페인커피는 콜드브루 맛이에용	1	0	1	0	0
시그니처토스트랑 루꼴라피자 먹었는데 맛있어요!  인기가 많은지 웨이팅 있었는데 기다리고 먹었어요 추천👍	0	0	0	0	0
여기 진짜 너무 맛있어요 다음에 또 갈꺼에요!!	1	0	1	0	0
