댓글	가성비	청결	맛	분위기	친절
메뉴 하나하나 너무 맛있었고, 창가석 뷰도 너무 좋았어요 ! 아쉬운점은 쭉 길게 뻗은 세모아의 홀을 보고싶었는데  ㅠ 일부만 식사 할수있는 공간이고, 그 외는 공간을 분리해서 주말 예식을 하고 있더라구요! 이런부분도 네이버 예약시 공지가 되어있음 좋을것 같아요~~~	0	0	0	1	0
뷰 맛집 인정! 날씨가 흐린 날이었는데도 야경이 멋져서 만족스러움.  양이 다소 적고 가격이 비싼 편이지만 뷰 하나로 용서되는 곳이었음. 주차장도 쾌적하고 매장도 깨끗함. 다만 식사시간, 주차시간 모두 2시간으로 제한되는데 이 점 꼭 감안하고 방문할 것! 조금만 초과되어도 주차비 나옴.. 트러플 블랙 리조또, 킹프라운 토마토 링귀니, 하몽멜론샐러드와 하우스와인 2잔을 주 문함. 토마토 링귀니가 상당히 맛있었고 리조또는 무난했음. 하몽멜론샐러드는 하몽과 멜론의 조합이 좋았으나 풀들이 너무 다 쓴 맛 나는 풀이어서 아쉬웠음.  여자분들은 화장실 맨 ...	0	1	0	0	0
예약힘든 저녁시간 예약 성공~ 회사건물같은 곳에 이렇게 다른세계가 있다니.  우선 뷰 끝내줘요. 이것만으로도 100점 99점은 줄 수있음. 국회의사당 보이는쪽 뷰는 최고. 음식은 아주 색다 르고 기억에 남는 정도는 아니지만  우수한 맛에 무엇보다 신선하고 깔끔합니다. 블랙파스타는 먹을수록 땡기는 맛~ 대기 장소부터 매장까지 인테리어 너무 예쁘고  직원분들도 친절합니다. 건물의 화장실도 너무 독특하고 예쁘고 깨끗합니다. 특히 이런 뷰를 볼 수 있는 라운지나 루프탑 등에 비해 가격도 비싸지않고 가격대비 음식, 뷰, 서비스 훌륭합니다.  2인 세트 시키...	0	0	0	1	0
한달전 예약하고 갔어요~ 네명이가서 6개 시켰는데 20만원도 안나왔어요~ 가격도 마음에 들었어요~ 창가자리라 뷰도 좋고 맛도 있어요~ 가격대비 양도 괜찮고 맛도 있었어요~ 그런데 주 방쪽 자리라 그런지 그릇 깨지는소리와 포크나이프 떨어트리는 소리등.. 시끄러운것 빼곤 좋았어요~ 또 갈 의사있어요~ 1월에 재 예약하고 가려구요~~^^	0	0	0	0	0
연말모임으로 예약했었는데 뷰도좋은데 코스메뉴구성도맛도좋다고 칭찬들었어요..8인예약이라 창가자리석은앉을수없었지만 충분히다들좋아해주셔서 즐겁게식사했습니다..담에는 창가자리로예약해서 한번가보고싶네요~	0	1	0	0	0
예약이 만실이라 당일 웨이팅으로 방문하였는데 조용한안쪽자리에서 식사하고 대화하기도 조용하고 좋았습니다:) 식사부터 디저트까지 굿입니다:)	0	0	0	1	0
뷰맛집, 음식맛집 진짜 다 좋았어요. 좋은분들과 함께 식사하는 자리에서 더좋은 추억남길수 있어서 감사합니다. 다음에 또 갈게요.감사합니다. 강추합니다. 세상의모든아침이요. 다음에는  디너에 가봐야겠어요.	0	1	0	0	0
정말 애정하는 곳..뷰도 멋지지만  환하고 자연친화적인 인테리어가 주는 공간감이 좋아서 특별한 날에 기분전환하러 가기 좋은곳이에요. 양이 많지 않은편이라 둘이서 아보카도샐러드,킹 크랩파스타,아메리칸 브렉퍼스트 3개 시켰더니 엄청 배부르게 먹었어요 ㅎㅎ. 음식도 맛있지만  한가지 아쉬운점은 메뉴  종류가 조금 더 많았으면 좋겠어요~! 그리고 이곳 바닐라라떼가 지 금까지 마셔본 바닐라라떼 중에 제일 맛있었어요~네이버예약으로 편하게 창가자리 앉을수 있어서 너무 좋았구요. 예약금받고 창가자리 예약하는 시스템 너무  괜찮은것 같아요  ㅎㅎ...	0	0	0	1	0
양은 대체적으로 많은편은 아니에요 하지만 아침에 먹기에는 괜찮은 정도? 뷰도 너무 이쁘고 뷰값이 있네요♥ 킹 파스타? 랑 와플과치킨이 같이 있는 브런치 시켰어요! 와플도 맛있고 치킨도 맛있는데 먹다보면 배가 부르더라구요 ㅋㅋ 둘의 조합은 모르겠는데 따로 먹었는데 맛있더라구요 	0	0	0	0	0
일단 뷰가 너무 예뻐요. 꼭 창가자리에 앉아야하는 곳이에요. 너무 예뻐서 음식도 맛있게 느껴집니다 ㅎㅎ 물론 음식도 매우 맛있어요! 특별한 날에 가기 딱 좋은 곳이에요.	0	0	0	0	0
직원들이랑 추계 체육대회를  하기 위해 단체석과 일반석을 예약 후 다녀온 곳입니다. 저는 개인적으로 두번째 방문인데... 이날 미세먼지 때문에 뷰맛집을 보지 못한 것이 참 아쉽더라구요.  첫번째도 못봤거든요^^ 직원모두가 만족하게 먹고 대화하니 저도 뿌듯 합니다.	0	0	0	0	0
일단 뷰가 좋고~ 음식은 무난했어요 ㅎㅎ 한번정도 올만한 곳인것 같습니다^^ 카운터에 있으신 남자 직원분은 기분이 안좋으신건지…그래도 저희 돈내고 밥먹으러 오는 곳인데, 기분좋게  와서 좀 그렇네요~ 다른팀에서도 뭔가 트러블이 있었는지 말하시다가 화를 참으시던데…전타임 끝날때 기다렸다가 아무 얘기 없이…누가 말하고 들어가기 시작한건지…다들 우르르 입장 하던데 미리 앞에 나오셔서 예약하신분들 체크하셔서 한팀씩 안내하시면 더 좋을거같아요! 	0	0	0	1	0
브런치메뉴도 맛있고, 스테이크도 맛있어요. 날씨 좋은날은 뷰도 빠질 수 없구요. 2시간 시간제약이 있는게 아쉽지만, 가끔 가기 괜찮아요. 	0	0	0	0	0
네이버예약해서 친구와 셋이서 가봤어요. 50층가는 전용엘리베이터표시가 따로없는게 아쉽고 느끼하지않게 스테이크와 해산물토마토파스타와 조합해 먹으니 좋아요~~ 스테이크코스요리 먹어봤는데 배불리먹는곳은 아니고 부담스럽게 고급레스토랑느낌도아니고 두시간정도 음식과 뷰를 즐기는 곳이네요	0	0	0	0	0
