댓글	가성비	청결	맛	분위기	친절
가격은 사악하지만 동물성 생크림이 부드럽고 달콤해서 입안에서 사르르륵 녹아요. 아직 딸기철이 아니라서 과육이 단단하고 새콤하지만 보드라운 시트지와 달콤한 생크림과 어울려 먹으면 맛있어요. 무엇보다 좋은 곳에서 공급해 쓴다는 공지가 믿음이 가더라고요.	0	0	2	0	1
딸기가 새콤했지만 크림이랑 같이 먹으니 알맞더라구요! 저는 좀더 딸기가 가득 토핑되어 있는 걸 기대했는데 실제로 보니 생각보다 좀 휑했어요. 그래도 이런 종류 케이크를 처음 보는 부모님은 좋아하셨습니다. 딸기철일 때 한번 더 먹고 싶어요!	0	0	1	0	1
예약을 못해서 현장 웨이팅으로 아침에 오픈런해서 구매했습니다! 아침인데도.. 줄이 상당하더라구요. 그래도 오픈시간쯤갔더니 안전빵으로 구매했습니다. 엄마생일케이크 였는데 딸기1호로 6명이서 딱 알맞게 먹었어요. 딸기는 양이많았는데 달지는 않고 확실히 새콤해요 그래도 생크림이 달달해서 맛있게 먹었습니다.	0	0	1	0	0
딸기 케이크🎂를 좋아한다면 사먹어봐야한다는 키친205! 정말 많은 곳의 딸기 케이크를 먹어봤지만, 키친205 만큼의 딸기🍓양은 처음 봤어요!! 딸기가 흘러 넘친다는 표현이 딱이에요! 너무 달지도 않았고 케이크🍰의 빵부분이 많지 않았어요🙊 진짜 딸기 가득 케이크를 원하시는 분들은 키친205 드셔보셔야합니다😆👍🏻 네이버 예약으로는 예약 가능한 날짜가 너무 많이 기다려야했고, 우연치않게 현장 구매 가능 케이크들이 남아있어서 데리고 왔습니다💕평일에는 현장 구매 케이크들이 조금 넉넉하게 있는거 같습니다🤞🏻	1	0	2	1	1
케이크 디자인이 너무 예쁘고, 크림과 빵은 맛있었는데 딸기가... 딸기가 너무 맛이 없었어요... 아직 완전 체절은 아니지만, 그래도 11월부터는 제철 딸기를 사용해서 케이크가 만들어진다고 해서 조금 기대했는데... 딸기가 달콤한 맛은 거의 없고 너무 시고 단단했어요. 딸기가 맛있는 계절에만 사 먹는게 좋을 것 같아요..! (그래도 빵/크림은 맛있음)	0	0	1	0	0
두시 넘어 갔는데 마지막 하나 남은 거 구입 딸기 사려 했는데, 아쉽지만 이거 하나 남은것도 어디냐 하면서 사옴 먹다보니 딸기가 너무 시어서 오히려 이거 사길 잘했단 생각이 들었다	0	0	2	0	0
요즘 딸기케잌파는 곳이 없어서 힘들게 찾아가서 받은 케잌인데  상대방이 선물로 받고 너무 좋아해서 저도 너무 행복했어요	0	0	1	0	1
아무래도 딸기 제철은 아니다보니 딸기 단맛보단 새콤한맛이 강해 아쉽지만 이 계절에 딸기 케이크 먹는게 어딘가요 ㅎㅎ 저는 만족해요!! 크림도 동물성 크림인게 확 느껴지고 신선한 케이크 느낌이란걸 알수있네요 ㅎㅎ 빵도 촉촉하고 좋아요!! 생일이라 예약해서 먹었는데 다음에 또 먹고싶네요＾◡＾ 	0	1	2	0	1
와......딸기 당도 0% 딸기 시다는 리뷰 보면서 이제 11월이니까 괜찮겠지 애써 흐린눈 하며 205케익 울부짖던 나 반성합니다  빵 안에 딸기 너무 안익어서 완전 설컹설컹 휴우....  위에 올라간 딸기는 조금이나마 달까 먹었는데 똑같이 너무 시고 자동으로 얼굴이 일그러지네여  생크림과 빵은 맛있지만 딸기가 얼굴 아닌가요 좀 심한 것 같단 생각 들어요 	0	0	0	0	0
조카들이 여기 케이크만 유일하게 다 먹어요 막 달지도 않고 맛있음 다른 딸기케이크도 사갔는데 이 케이크만 잘 먹음!!!!! 오픈시간엔 웨이팅있어요! 그래도 살만함!!	0	0	2	0	0
